OTU,Domain,Phylum,Class,Order,Family,Genus,Species
2b63fc28d7a0b9648a6e7d998faaf0f6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Botryosphaeria_dothidea
bd7e1da34ec8fcfd59ec2e3827e2a079,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured_bacterium
d703ec2ec9395a4dcfa9246397c8b33e,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
fe9c30b0858e6cd7b243982b975bcc02,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,
f1a6f64e250ed62210240d1ee463150c,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,
83e20d59bea7a5c63669ac0aaab06287,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured_bacterium
01b633c4023d7deced1fd80bb0d1d999,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Natronomonas,
3e046a051e3aa60e547ccebac5e125b4,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae,uncultured_bacterium
024558c50cb829560c1513bc1aca4104,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,
67da11101eb0256fe68b378ae78add8a,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
a074032aaf308d8bbe83d3d40bb8d412,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,,
a9523ed0e7d3ab3da9b13f2f6532d850,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Botryosphaeria_dothidea
43533e92c928b36eb6cc5b416a521c22,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadales,Armatimonadales,uncultured_bacterium
caf3afb56d45f4f3d2b10acad489d41a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
cff91f92ebadff0ecf455925e3e91b54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
52bfd3132abfe6f5d4dca32c12eb3ac3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
7a1e0f0614ed6fc395f9671bfbca9754,Unassigned,,,,,,
fac1e2799f556a919b52ebfb8ab31e5a,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,
